Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T11865:	135 = INIT1
T11866:	135 = NOR(137, 132)
T11867:	136 = INIT1
T11868:	136 = NOR(135, 137)
T11869:	137 = INIT1
T11870:	137 = NOR(135, 132)
T11871:	106 = INIT1
T11872:	106 = NOR(137, 136)
T11873:	132 = INIT1
T11874:	132 = NOR(134, 135)
T11875:	134 = INIT1
T11876:	134 = NOT(62)
T11877:	135 = INIT1
T11878:	135 = NOR(62, 81)
T11879:	136 = INIT1
T11880:	136 = NOR(134, 129)
T11881:	133 = INIT1
T11882:	133 = NOR(135, 136)
T11883:	134 = INIT1
T11884:	134 = NOR(107, 133)
T11885:	135 = INIT1
T11886:	135 = NOR(107, 134)
T11887:	136 = INIT1
T11888:	136 = NOR(133, 134)
T11889:	137 = INIT1
T11890:	137 = NOR(135, 136)
T11891:	135 = INIT1
T11892:	135 = NOR(137, 132)
T11893:	136 = INIT1
T11894:	136 = NOR(135, 137)
T11895:	137 = INIT1
T11896:	137 = NOR(135, 132)
T11897:	107 = INIT1
T11898:	107 = NOR(137, 136)
T11899:	132 = INIT1
T11900:	132 = NOR(134, 135)
T11901:	134 = INIT1
T11902:	134 = NOT(63)
T11903:	135 = INIT1
T11904:	135 = NOR(63, 81)
T11905:	136 = INIT1
T11906:	136 = NOR(134, 129)
T11907:	133 = INIT1
T11908:	133 = NOR(135, 136)
T11909:	134 = INIT1
T11910:	134 = NOR(108, 133)
T11911:	135 = INIT1
T11912:	135 = NOR(108, 134)
T11913:	136 = INIT1
T11914:	136 = NOR(133, 134)
T11915:	137 = INIT1
T11916:	137 = NOR(135, 136)
T11917:	135 = INIT1
T11918:	135 = NOR(137, 132)
T11919:	136 = INIT1
T11920:	136 = NOR(135, 137)
T11921:	137 = INIT1
T11922:	137 = NOR(135, 132)
T11923:	108 = INIT1
T11924:	108 = NOR(137, 136)
T11925:	132 = INIT1
T11926:	132 = NOR(134, 135)
T11927:	134 = INIT1
T11928:	134 = NOT(97)
T11929:	135 = INIT1
T11930:	135 = NOR(97, 81)
T11931:	136 = INIT1
T11932:	136 = NOR(134, 129)
T11933:	133 = INIT1
T11934:	133 = NOR(135, 136)
T11935:	134 = INIT1
T11936:	134 = NOR(109, 133)
T11937:	135 = INIT1
T11938:	135 = NOR(109, 134)
T11939:	136 = INIT1
T11940:	136 = NOR(133, 134)
T11941:	137 = INIT1
T11942:	137 = NOR(135, 136)
T11943:	135 = INIT1
T11944:	135 = NOR(137, 132)
T11945:	136 = INIT1
T11946:	136 = NOR(135, 137)
T11947:	137 = INIT1
T11948:	137 = NOR(135, 132)
T11949:	109 = INIT1
T11950:	109 = NOR(137, 136)
T11951:	132 = INIT1
T11952:	132 = NOR(134, 135)
T11953:	134 = INIT1
T11954:	134 = NOT(99)
T11955:	135 = INIT1
T11956:	135 = NOR(99, 81)
T11957:	136 = INIT1
T11958:	136 = NOR(134, 129)
T11959:	133 = INIT1
T11960:	133 = NOR(135, 136)
T11961:	134 = INIT1
T11962:	134 = NOR(110, 133)
T11963:	135 = INIT1
T11964:	135 = NOR(110, 134)
T11965:	136 = INIT1
T11966:	136 = NOR(133, 134)
T11967:	137 = INIT1
T11968:	137 = NOR(135, 136)
T11969:	135 = INIT1
T11970:	135 = NOR(137, 132)
T11971:	136 = INIT1
T11972:	136 = NOR(135, 137)
T11973:	137 = INIT1
T11974:	137 = NOR(135, 132)
T11975:	110 = INIT1
T11976:	110 = NOR(137, 136)
T11977:	132 = INIT1
T11978:	132 = NOR(134, 135)
T11979:	134 = INIT1
T11980:	134 = NOT(99)
T11981:	135 = INIT1
T11982:	135 = NOR(99, 81)
T11983:	136 = INIT1
T11984:	136 = NOR(134, 129)
T11985:	133 = INIT1
T11986:	133 = NOR(135, 136)
T11987:	134 = INIT1
T11988:	134 = NOR(111, 133)
T11989:	135 = INIT1
T11990:	135 = NOR(111, 134)
T11991:	136 = INIT1
T11992:	136 = NOR(133, 134)
T11993:	137 = INIT1
T11994:	137 = NOR(135, 136)
T11995:	135 = INIT1
T11996:	135 = NOR(137, 132)
T11997:	136 = INIT1
T11998:	136 = NOR(135, 137)
T11999:	137 = INIT1
T12000:	137 = NOR(135, 132)
T12001:	111 = INIT1
T12002:	111 = NOR(137, 136)
T12003:	132 = INIT1
T12004:	132 = NOR(134, 135)
T12005:	133 = INIT1
T12006:	133 = NOR(112, 81)
T12007:	134 = INIT1
T12008:	134 = NOR(112, 133)
T12009:	135 = INIT1
T12010:	135 = NOR(81, 133)
T12011:	136 = INIT1
T12012:	136 = NOR(134, 135)
T12013:	134 = INIT1
T12014:	134 = NOR(136, 132)
T12015:	135 = INIT1
T12016:	135 = NOR(134, 136)
T12017:	136 = INIT1
T12018:	136 = NOR(134, 132)
T12019:	112 = INIT1
T12020:	112 = NOR(136, 135)
T12021:	132 = INIT1
T12022:	132 = NOR(133, 134)
T12023:	133 = INIT1
T12024:	133 = NOR(113, 81)
T12025:	134 = INIT1
T12026:	134 = NOR(113, 133)
T12027:	135 = INIT1
T12028:	135 = NOR(81, 133)
T12029:	136 = INIT1
T12030:	136 = NOR(134, 135)
T12031:	134 = INIT1
T12032:	134 = NOR(136, 132)
T12033:	135 = INIT1
T12034:	135 = NOR(134, 136)
T12035:	136 = INIT1
T12036:	136 = NOR(134, 132)
T12037:	113 = INIT1
T12038:	113 = NOR(136, 135)
T12039:	132 = INIT1
T12040:	132 = NOR(133, 134)
T12041:	80  = INIT1
T12042:	80  = NOT(113)
T12043:	129 = INIT1
T12044:	129 = NOT(80)
T12045:	134 = INIT1
T12046:	134 = NOT(41)
T12047:	135 = INIT1
T12048:	135 = NOR(41, 80)
T12049:	136 = INIT1
T12050:	136 = NOR(134, 129)
T12051:	133 = INIT1
T12052:	133 = NOR(135, 136)
T12053:	134 = INIT1
T12054:	134 = NOR(99, 133)
T12055:	135 = INIT1
T12056:	135 = NOR(99, 134)
T12057:	136 = INIT1
T12058:	136 = NOR(133, 134)
T12059:	137 = INIT1
T12060:	137 = NOR(135, 136)
T12061:	135 = INIT1
T12062:	135 = NOR(137, 80)
T12063:	136 = INIT1
T12064:	136 = NOR(135, 137)
T12065:	137 = INIT1
T12066:	137 = NOR(135, 80)
T12067:	113 = INIT1
T12068:	113 = NOR(137, 136)
T12069:	132 = INIT1
T12070:	132 = NOR(134, 135)
T12071:	134 = INIT1
T12072:	134 = NOT(42)
T12073:	135 = INIT1
T12074:	135 = NOR(42, 80)
T12075:	136 = INIT1
T12076:	136 = NOR(134, 129)
T12077:	133 = INIT1
T12078:	133 = NOR(135, 136)
T12079:	134 = INIT1
T12080:	134 = NOR(114, 133)
T12081:	135 = INIT1
T12082:	135 = NOR(114, 134)
T12083:	136 = INIT1
T12084:	136 = NOR(133, 134)
T12085:	137 = INIT1
T12086:	137 = NOR(135, 136)
T12087:	135 = INIT1
T12088:	135 = NOR(137, 132)
T12089:	136 = INIT1
T12090:	136 = NOR(135, 137)
T12091:	137 = INIT1
T12092:	137 = NOR(135, 132)
T12093:	114 = INIT1
T12094:	114 = NOR(137, 136)
T12095:	132 = INIT1
T12096:	132 = NOR(134, 135)
T12097:	134 = INIT1
T12098:	134 = NOT(43)
T12099:	135 = INIT1
T12100:	135 = NOR(43, 80)
T12101:	136 = INIT1
T12102:	136 = NOR(134, 129)
T12103:	133 = INIT1
T12104:	133 = NOR(135, 136)
T12105:	134 = INIT1
T12106:	134 = NOR(115, 133)
T12107:	135 = INIT1
T12108:	135 = NOR(115, 134)
T12109:	136 = INIT1
T12110:	136 = NOR(133, 134)
T12111:	137 = INIT1
T12112:	137 = NOR(135, 136)
T12113:	135 = INIT1
T12114:	135 = NOR(137, 132)
T12115:	136 = INIT1
T12116:	136 = NOR(135, 137)
T12117:	137 = INIT1
T12118:	137 = NOR(135, 132)
T12119:	115 = INIT1
T12120:	115 = NOR(137, 136)
T12121:	132 = INIT1
T12122:	132 = NOR(134, 135)
T12123:	134 = INIT1
T12124:	134 = NOT(44)
T12125:	135 = INIT1
T12126:	135 = NOR(44, 80)
T12127:	136 = INIT1
T12128:	136 = NOR(134, 129)
T12129:	133 = INIT1
T12130:	133 = NOR(135, 136)
T12131:	134 = INIT1
T12132:	134 = NOR(116, 133)
T12133:	135 = INIT1
T12134:	135 = NOR(116, 134)
T12135:	136 = INIT1
T12136:	136 = NOR(133, 134)
T12137:	137 = INIT1
T12138:	137 = NOR(135, 136)
T12139:	135 = INIT1
T12140:	135 = NOR(137, 132)
T12141:	136 = INIT1
T12142:	136 = NOR(135, 137)
T12143:	137 = INIT1
T12144:	137 = NOR(135, 132)
T12145:	116 = INIT1
T12146:	116 = NOR(137, 136)
T12147:	132 = INIT1
T12148:	132 = NOR(134, 135)
T12149:	134 = INIT1
T12150:	134 = NOT(45)
T12151:	135 = INIT1
T12152:	135 = NOR(45, 80)
T12153:	136 = INIT1
T12154:	136 = NOR(134, 129)
T12155:	133 = INIT1
T12156:	133 = NOR(135, 136)
T12157:	134 = INIT1
T12158:	134 = NOR(117, 133)
T12159:	135 = INIT1
T12160:	135 = NOR(117, 134)
T12161:	136 = INIT1
T12162:	136 = NOR(133, 134)
T12163:	137 = INIT1
T12164:	137 = NOR(135, 136)
T12165:	135 = INIT1
T12166:	135 = NOR(137, 132)
T12167:	136 = INIT1
T12168:	136 = NOR(135, 137)
T12169:	137 = INIT1
T12170:	137 = NOR(135, 132)
T12171:	117 = INIT1
T12172:	117 = NOR(137, 136)
T12173:	132 = INIT1
T12174:	132 = NOR(134, 135)
T12175:	134 = INIT1
T12176:	134 = NOT(46)
T12177:	135 = INIT1
T12178:	135 = NOR(46, 80)
T12179:	136 = INIT1
T12180:	136 = NOR(134, 129)
T12181:	133 = INIT1
T12182:	133 = NOR(135, 136)
T12183:	134 = INIT1
T12184:	134 = NOR(118, 133)
T12185:	135 = INIT1
T12186:	135 = NOR(118, 134)
T12187:	136 = INIT1
T12188:	136 = NOR(133, 134)
T12189:	137 = INIT1
T12190:	137 = NOR(135, 136)
T12191:	135 = INIT1
T12192:	135 = NOR(137, 132)
T12193:	136 = INIT1
T12194:	136 = NOR(135, 137)
T12195:	137 = INIT1
T12196:	137 = NOR(135, 132)
T12197:	118 = INIT1
T12198:	118 = NOR(137, 136)
T12199:	132 = INIT1
T12200:	132 = NOR(134, 135)
T12201:	134 = INIT1
T12202:	134 = NOT(47)
T12203:	135 = INIT1
T12204:	135 = NOR(47, 80)
T12205:	136 = INIT1
T12206:	136 = NOR(134, 129)
T12207:	133 = INIT1
T12208:	133 = NOR(135, 136)
T12209:	134 = INIT1
T12210:	134 = NOR(119, 133)
T12211:	135 = INIT1
T12212:	135 = NOR(119, 134)
T12213:	136 = INIT1
T12214:	136 = NOR(133, 134)
T12215:	137 = INIT1
T12216:	137 = NOR(135, 136)
T12217:	135 = INIT1
T12218:	135 = NOR(137, 132)
T12219:	136 = INIT1
T12220:	136 = NOR(135, 137)
T12221:	137 = INIT1
T12222:	137 = NOR(135, 132)
T12223:	119 = INIT1
T12224:	119 = NOR(137, 136)
T12225:	132 = INIT1
T12226:	132 = NOR(134, 135)
T12227:	134 = INIT1
T12228:	134 = NOT(48)
T12229:	135 = INIT1
T12230:	135 = NOR(48, 80)
T12231:	136 = INIT1
T12232:	136 = NOR(134, 129)
T12233:	133 = INIT1
T12234:	133 = NOR(135, 136)
T12235:	134 = INIT1
T12236:	134 = NOR(120, 133)
T12237:	135 = INIT1
T12238:	135 = NOR(120, 134)
T12239:	136 = INIT1
T12240:	136 = NOR(133, 134)
T12241:	137 = INIT1
T12242:	137 = NOR(135, 136)
T12243:	135 = INIT1
T12244:	135 = NOR(137, 132)
T12245:	136 = INIT1
T12246:	136 = NOR(135, 137)
T12247:	137 = INIT1
T12248:	137 = NOR(135, 132)
T12249:	120 = INIT1
T12250:	120 = NOR(137, 136)
T12251:	132 = INIT1
T12252:	132 = NOR(134, 135)
T12253:	134 = INIT1
T12254:	134 = NOT(49)
T12255:	135 = INIT1
T12256:	135 = NOR(49, 80)
T12257:	136 = INIT1
T12258:	136 = NOR(134, 129)
T12259:	133 = INIT1
T12260:	133 = NOR(135, 136)
T12261:	134 = INIT1
T12262:	134 = NOR(121, 133)
T12263:	135 = INIT1
T12264:	135 = NOR(121, 134)
T12265:	136 = INIT1
T12266:	136 = NOR(133, 134)
T12267:	137 = INIT1
T12268:	137 = NOR(135, 136)
T12269:	135 = INIT1
T12270:	135 = NOR(137, 132)
T12271:	136 = INIT1
T12272:	136 = NOR(135, 137)
T12273:	137 = INIT1
T12274:	137 = NOR(135, 132)
T12275:	121 = INIT1
T12276:	121 = NOR(137, 136)
T12277:	132 = INIT1
T12278:	132 = NOR(134, 135)
T12279:	134 = INIT1
T12280:	134 = NOT(50)
T12281:	135 = INIT1
T12282:	135 = NOR(50, 80)
T12283:	136 = INIT1
T12284:	136 = NOR(134, 129)
T12285:	133 = INIT1
T12286:	133 = NOR(135, 136)
T12287:	134 = INIT1
T12288:	134 = NOR(122, 133)
T12289:	135 = INIT1
T12290:	135 = NOR(122, 134)
T12291:	136 = INIT1
T12292:	136 = NOR(133, 134)
T12293:	137 = INIT1
T12294:	137 = NOR(135, 136)
T12295:	135 = INIT1
T12296:	135 = NOR(137, 132)
T12297:	136 = INIT1
T12298:	136 = NOR(135, 137)
T12299:	137 = INIT1
T12300:	137 = NOR(135, 132)
T12301:	122 = INIT1
T12302:	122 = NOR(137, 136)
T12303:	132 = INIT1
T12304:	132 = NOR(134, 135)
T12305:	134 = INIT1
T12306:	134 = NOT(51)
T12307:	135 = INIT1
T12308:	135 = NOR(51, 80)
T12309:	136 = INIT1
T12310:	136 = NOR(134, 129)
T12311:	133 = INIT1
T12312:	133 = NOR(135, 136)
T12313:	134 = INIT1
T12314:	134 = NOR(123, 133)
T12315:	135 = INIT1
T12316:	135 = NOR(123, 134)
T12317:	136 = INIT1
T12318:	136 = NOR(133, 134)
T12319:	137 = INIT1
T12320:	137 = NOR(135, 136)
T12321:	135 = INIT1
T12322:	135 = NOR(137, 132)
T12323:	136 = INIT1
T12324:	136 = NOR(135, 137)
T12325:	137 = INIT1
T12326:	137 = NOR(135, 132)
T12327:	123 = INIT1
T12328:	123 = NOR(137, 136)
T12329:	132 = INIT1
T12330:	132 = NOR(134, 135)
T12331:	134 = INIT1
T12332:	134 = NOT(52)
T12333:	135 = INIT1
T12334:	135 = NOR(52, 80)
T12335:	136 = INIT1
T12336:	136 = NOR(134, 129)
T12337:	133 = INIT1
T12338:	133 = NOR(135, 136)
T12339:	134 = INIT1
T12340:	134 = NOR(124, 133)
T12341:	135 = INIT1
T12342:	135 = NOR(124, 134)
T12343:	136 = INIT1
T12344:	136 = NOR(133, 134)
T12345:	137 = INIT1
T12346:	137 = NOR(135, 136)
T12347:	135 = INIT1
T12348:	135 = NOR(137, 132)
T12349:	136 = INIT1
T12350:	136 = NOR(135, 137)
T12351:	137 = INIT1
T12352:	137 = NOR(135, 132)
T12353:	124 = INIT1
T12354:	124 = NOR(137, 136)
T12355:	132 = INIT1
T12356:	132 = NOR(134, 135)
T12357:	134 = INIT1
T12358:	134 = NOT(53)
T12359:	135 = INIT1
T12360:	135 = NOR(53, 80)
T12361:	136 = INIT1
T12362:	136 = NOR(134, 129)
T12363:	133 = INIT1
T12364:	133 = NOR(135, 136)
T12365:	134 = INIT1
T12366:	134 = NOR(125, 133)
T12367:	135 = INIT1
T12368:	135 = NOR(125, 134)
T12369:	136 = INIT1
T12370:	136 = NOR(133, 134)
T12371:	137 = INIT1
T12372:	137 = NOR(135, 136)
T12373:	135 = INIT1
T12374:	135 = NOR(137, 132)
T12375:	136 = INIT1
T12376:	136 = NOR(135, 137)
T12377:	137 = INIT1
T12378:	137 = NOR(135, 132)
T12379:	125 = INIT1
T12380:	125 = NOR(137, 136)
T12381:	132 = INIT1
T12382:	132 = NOR(134, 135)
T12383:	134 = INIT1
T12384:	134 = NOT(54)
T12385:	135 = INIT1
T12386:	135 = NOR(54, 80)
T12387:	136 = INIT1
T12388:	136 = NOR(134, 129)
T12389:	133 = INIT1
T12390:	133 = NOR(135, 136)
T12391:	134 = INIT1
T12392:	134 = NOR(126, 133)
T12393:	135 = INIT1
T12394:	135 = NOR(126, 134)
T12395:	136 = INIT1
T12396:	136 = NOR(133, 134)
T12397:	137 = INIT1
T12398:	137 = NOR(135, 136)
T12399:	135 = INIT1
T12400:	135 = NOR(137, 132)
T12401:	136 = INIT1
T12402:	136 = NOR(135, 137)
T12403:	137 = INIT1
T12404:	137 = NOR(135, 132)
T12405:	126 = INIT1
T12406:	126 = NOR(137, 136)
T12407:	132 = INIT1
T12408:	132 = NOR(134, 135)
T12409:	134 = INIT1
T12410:	134 = NOT(55)
T12411:	135 = INIT1
T12412:	135 = NOR(55, 80)
T12413:	136 = INIT1
T12414:	136 = NOR(134, 129)
T12415:	133 = INIT1
T12416:	133 = NOR(135, 136)
T12417:	134 = INIT1
T12418:	134 = NOR(127, 133)
T12419:	135 = INIT1
T12420:	135 = NOR(127, 134)
T12421:	136 = INIT1
T12422:	136 = NOR(133, 134)
T12423:	137 = INIT1
T12424:	137 = NOR(135, 136)
T12425:	135 = INIT1
T12426:	135 = NOR(137, 132)
T12427:	136 = INIT1
T12428:	136 = NOR(135, 137)
T12429:	137 = INIT1
T12430:	137 = NOR(135, 132)
T12431:	127 = INIT1
T12432:	127 = NOR(137, 136)
T12433:	132 = INIT1
T12434:	132 = NOR(134, 135)
T12435:	134 = INIT1
T12436:	134 = NOT(56)
T12437:	135 = INIT1
T12438:	135 = NOR(56, 80)
T12439:	136 = INIT1
T12440:	136 = NOR(134, 129)
T12441:	133 = INIT1
T12442:	133 = NOR(135, 136)
T12443:	134 = INIT1
T12444:	134 = NOR(128, 133)
T12445:	135 = INIT1
T12446:	135 = NOR(128, 134)
T12447:	136 = INIT1
T12448:	136 = NOR(133, 134)
T12449:	137 = INIT1
T12450:	137 = NOR(135, 136)
T12451:	135 = INIT1
T12452:	135 = NOR(137, 132)
T12453:	136 = INIT1
T12454:	136 = NOR(135, 137)
T12455:	137 = INIT1
T12456:	137 = NOR(135, 132)
T12457:	128 = INIT1
T12458:	128 = NOR(137, 136)
T12459:	132 = INIT1
T12460:	132 = NOR(134, 135)
T12461:	134 = INIT1
T12462:	134 = NOT(57)
T12463:	135 = INIT1
T12464:	135 = NOR(57, 80)
T12465:	136 = INIT1
T12466:	136 = NOR(134, 129)
T12467:	133 = INIT1
T12468:	133 = NOR(135, 136)
T12469:	134 = INIT1
T12470:	134 = NOR(130, 133)
T12471:	135 = INIT1
T12472:	135 = NOR(130, 134)
T12473:	136 = INIT1
T12474:	136 = NOR(133, 134)
T12475:	137 = INIT1
T12476:	137 = NOR(135, 136)
T12477:	135 = INIT1
T12478:	135 = NOR(137, 132)
T12479:	136 = INIT1
T12480:	136 = NOR(135, 137)
T12481:	137 = INIT1
T12482:	137 = NOR(135, 132)
T12483:	130 = INIT1
T12484:	130 = NOR(137, 136)
T12485:	132 = INIT1
T12486:	132 = NOR(134, 135)
T12487:	134 = INIT1
T12488:	134 = NOT(58)
T12489:	135 = INIT1
T12490:	135 = NOR(58, 80)
T12491:	136 = INIT1
T12492:	136 = NOR(134, 129)
T12493:	133 = INIT1
T12494:	133 = NOR(135, 136)
T12495:	134 = INIT1
T12496:	134 = NOR(131, 133)
T12497:	135 = INIT1
T12498:	135 = NOR(131, 134)
T12499:	136 = INIT1
T12500:	136 = NOR(133, 134)
T12501:	137 = INIT1
T12502:	137 = NOR(135, 136)
T12503:	135 = INIT1
T12504:	135 = NOR(137, 132)
T12505:	136 = INIT1
T12506:	136 = NOR(135, 137)
T12507:	137 = INIT1
T12508:	137 = NOR(135, 132)
T12509:	131 = INIT1
T12510:	131 = NOR(137, 136)
T12511:	132 = INIT1
T12512:	132 = NOR(134, 135)
T12513:	134 = INIT1
T12514:	134 = NOT(59)
T12515:	135 = INIT1
T12516:	135 = NOR(59, 80)
T12517:	136 = INIT1
T12518:	136 = NOR(134, 129)
T12519:	133 = INIT1
T12520:	133 = NOR(135, 136)
T12521:	134 = INIT1
T12522:	134 = NOR(103, 133)
T12523:	135 = INIT1
T12524:	135 = NOR(103, 134)
T12525:	136 = INIT1
T12526:	136 = NOR(133, 134)
T12527:	137 = INIT1
T12528:	137 = NOR(135, 136)
T12529:	135 = INIT1
T12530:	135 = NOR(137, 132)
T12531:	136 = INIT1
T12532:	136 = NOR(135, 137)
T12533:	137 = INIT1
T12534:	137 = NOR(135, 132)
T12535:	103 = INIT1
T12536:	103 = NOR(137, 136)
T12537:	132 = INIT1
T12538:	132 = NOR(134, 135)
T12539:	134 = INIT1
T12540:	134 = NOT(60)
T12541:	135 = INIT1
T12542:	135 = NOR(60, 80)
T12543:	136 = INIT1
T12544:	136 = NOR(134, 129)
T12545:	133 = INIT1
T12546:	133 = NOR(135, 136)
T12547:	134 = INIT1
T12548:	134 = NOR(104, 133)
T12549:	135 = INIT1
T12550:	135 = NOR(104, 134)
T12551:	136 = INIT1
T12552:	136 = NOR(133, 134)
T12553:	137 = INIT1
T12554:	137 = NOR(135, 136)
T12555:	135 = INIT1
T12556:	135 = NOR(137, 132)
T12557:	136 = INIT1
T12558:	136 = NOR(135, 137)
T12559:	137 = INIT1
T12560:	137 = NOR(135, 132)
T12561:	104 = INIT1
T12562:	104 = NOR(137, 136)
T12563:	132 = INIT1
T12564:	132 = NOR(134, 135)
T12565:	134 = INIT1
T12566:	134 = NOT(61)
T12567:	135 = INIT1
T12568:	135 = NOR(61, 80)
T12569:	136 = INIT1
T12570:	136 = NOR(134, 129)
T12571:	133 = INIT1
T12572:	133 = NOR(135, 136)
T12573:	134 = INIT1
T12574:	134 = NOR(105, 133)
T12575:	135 = INIT1
T12576:	135 = NOR(105, 134)
T12577:	136 = INIT1
T12578:	136 = NOR(133, 134)
T12579:	137 = INIT1
T12580:	137 = NOR(135, 136)
T12581:	135 = INIT1
T12582:	135 = NOR(137, 132)
T12583:	136 = INIT1
T12584:	136 = NOR(135, 137)
T12585:	137 = INIT1
T12586:	137 = NOR(135, 132)
T12587:	105 = INIT1
T12588:	105 = NOR(137, 136)
T12589:	132 = INIT1
T12590:	132 = NOR(134, 135)
T12591:	134 = INIT1
T12592:	134 = NOT(62)
T12593:	135 = INIT1
T12594:	135 = NOR(62, 80)
T12595:	136 = INIT1
T12596:	136 = NOR(134, 129)
T12597:	133 = INIT1
T12598:	133 = NOR(135, 136)
T12599:	134 = INIT1
T12600:	134 = NOR(106, 133)
T12601:	135 = INIT1
T12602:	135 = NOR(106, 134)
T12603:	136 = INIT1
T12604:	136 = NOR(133, 134)
T12605:	137 = INIT1
T12606:	137 = NOR(135, 136)
T12607:	135 = INIT1
T12608:	135 = NOR(137, 132)
T12609:	136 = INIT1
T12610:	136 = NOR(135, 137)
T12611:	137 = INIT1
T12612:	137 = NOR(135, 132)
T12613:	106 = INIT1
T12614:	106 = NOR(137, 136)
T12615:	132 = INIT1
T12616:	132 = NOR(134, 135)
T12617:	134 = INIT1
T12618:	134 = NOT(63)
T12619:	135 = INIT1
T12620:	135 = NOR(63, 80)
T12621:	136 = INIT1
T12622:	136 = NOR(134, 129)
T12623:	133 = INIT1
T12624:	133 = NOR(135, 136)
T12625:	134 = INIT1
T12626:	134 = NOR(107, 133)
T12627:	135 = INIT1
T12628:	135 = NOR(107, 134)
T12629:	136 = INIT1
T12630:	136 = NOR(133, 134)
T12631:	137 = INIT1
T12632:	137 = NOR(135, 136)
T12633:	135 = INIT1
T12634:	135 = NOR(137, 132)
T12635:	136 = INIT1
T12636:	136 = NOR(135, 137)
T12637:	137 = INIT1
T12638:	137 = NOR(135, 132)
T12639:	107 = INIT1
T12640:	107 = NOR(137, 136)
T12641:	132 = INIT1
T12642:	132 = NOR(134, 135)
T12643:	134 = INIT1
T12644:	134 = NOT(97)
T12645:	135 = INIT1
T12646:	135 = NOR(97, 80)
T12647:	136 = INIT1
T12648:	136 = NOR(134, 129)
T12649:	133 = INIT1
T12650:	133 = NOR(135, 136)
T12651:	134 = INIT1
T12652:	134 = NOR(108, 133)
T12653:	135 = INIT1
T12654:	135 = NOR(108, 134)
T12655:	136 = INIT1
T12656:	136 = NOR(133, 134)
T12657:	137 = INIT1
T12658:	137 = NOR(135, 136)
T12659:	135 = INIT1
T12660:	135 = NOR(137, 132)
T12661:	136 = INIT1
T12662:	136 = NOR(135, 137)
T12663:	137 = INIT1
T12664:	137 = NOR(135, 132)
T12665:	108 = INIT1
T12666:	108 = NOR(137, 136)
T12667:	132 = INIT1
T12668:	132 = NOR(134, 135)
T12669:	134 = INIT1
T12670:	134 = NOT(99)
T12671:	135 = INIT1
T12672:	135 = NOR(99, 80)
T12673:	136 = INIT1
T12674:	136 = NOR(134, 129)
T12675:	133 = INIT1
T12676:	133 = NOR(135, 136)
T12677:	134 = INIT1
T12678:	134 = NOR(109, 133)
T12679:	135 = INIT1
T12680:	135 = NOR(109, 134)
T12681:	136 = INIT1
T12682:	136 = NOR(133, 134)
T12683:	137 = INIT1
T12684:	137 = NOR(135, 136)
T12685:	135 = INIT1
T12686:	135 = NOR(137, 132)
T12687:	136 = INIT1
T12688:	136 = NOR(135, 137)
T12689:	137 = INIT1
T12690:	137 = NOR(135, 132)
T12691:	109 = INIT1
T12692:	109 = NOR(137, 136)
T12693:	132 = INIT1
T12694:	132 = NOR(134, 135)
T12695:	134 = INIT1
T12696:	134 = NOT(99)
T12697:	135 = INIT1
T12698:	135 = NOR(99, 80)
T12699:	136 = INIT1
T12700:	136 = NOR(134, 129)
T12701:	133 = INIT1
T12702:	133 = NOR(135, 136)
T12703:	134 = INIT1
T12704:	134 = NOR(110, 133)
T12705:	135 = INIT1
T12706:	135 = NOR(110, 134)
T12707:	136 = INIT1
T12708:	136 = NOR(133, 134)
T12709:	137 = INIT1
T12710:	137 = NOR(135, 136)
T12711:	135 = INIT1
T12712:	135 = NOR(137, 132)
T12713:	136 = INIT1
T12714:	136 = NOR(135, 137)
T12715:	137 = INIT1
T12716:	137 = NOR(135, 132)
T12717:	110 = INIT1
T12718:	110 = NOR(137, 136)
T12719:	132 = INIT1
T12720:	132 = NOR(134, 135)
T12721:	133 = INIT1
T12722:	133 = NOR(111, 80)
T12723:	134 = INIT1
T12724:	134 = NOR(111, 133)
T12725:	135 = INIT1
T12726:	135 = NOR(80, 133)
T12727:	136 = INIT1
T12728:	136 = NOR(134, 135)
T12729:	134 = INIT1
T12730:	134 = NOR(136, 132)
T12731:	135 = INIT1
T12732:	135 = NOR(134, 136)
T12733:	136 = INIT1
T12734:	136 = NOR(134, 132)
T12735:	111 = INIT1
T12736:	111 = NOR(136, 135)
T12737:	132 = INIT1
T12738:	132 = NOR(133, 134)
T12739:	133 = INIT1
T12740:	133 = NOR(112, 80)
T12741:	134 = INIT1
T12742:	134 = NOR(112, 133)
T12743:	135 = INIT1
T12744:	135 = NOR(80, 133)
T12745:	136 = INIT1
T12746:	136 = NOR(134, 135)
T12747:	134 = INIT1
T12748:	134 = NOR(136, 132)
T12749:	135 = INIT1
T12750:	135 = NOR(134, 136)
T12751:	136 = INIT1
T12752:	136 = NOR(134, 132)
T12753:	112 = INIT1
T12754:	112 = NOR(136, 135)
T12755:	132 = INIT1
T12756:	132 = NOR(133, 134)
T12757:	79  = INIT1
T12758:	79  = NOT(112)
T12759:	129 = INIT1
T12760:	129 = NOT(79)
T12761:	134 = INIT1
T12762:	134 = NOT(41)
T12763:	135 = INIT1
T12764:	135 = NOR(41, 79)
T12765:	136 = INIT1
T12766:	136 = NOR(134, 129)
T12767:	133 = INIT1
T12768:	133 = NOR(135, 136)
